1.31E+00,6.90E-08
1.63E+00,8.57E-08
2.18E+00,1.20E-07
3.16E+00,1.69E-07
4.14E+00,2.17E-07
5.34E+00,2.61E-07
6.21E+00,3.35E-07
7.08E+00,3.05E-07
8.06E+00,3.67E-07
8.71E+00,4.29E-07
9.91E+00,5.01E-07
1.10E+01,4.56E-07
1.20E+01,5.49E-07
1.29E+01,5.67E-07
1.39E+01,6.22E-07
1.55E+01,7.04E-07
1.61E+01,6.83E-07
1.73E+01,7.73E-07
1.83E+01,8.74E-07
1.94E+01,9.30E-07
2.05E+01,1.05E-06
2.12E+01,1.05E-06
2.22E+01,1.12E-06
2.31E+01,1.16E-06
2.37E+01,1.31E-06
2.49E+01,1.35E-06
2.65E+01,1.53E-06
2.74E+01,1.58E-06
2.90E+01,1.68E-06
2.97E+01,1.78E-06
3.13E+01,1.96E-06
3.22E+01,2.08E-06
3.33E+01,2.28E-06
3.43E+01,2.43E-06
3.51E+01,2.67E-06
3.62E+01,2.93E-06
3.71E+01,2.93E-06
3.81E+01,3.31E-06
3.91E+01,3.64E-06
4.04E+01,4.52E-06
4.15E+01,5.11E-06
4.25E+01,5.61E-06
4.35E+01,6.76E-06
4.43E+01,8.39E-06
4.53E+01,9.50E-06
4.60E+01,1.18E-05
0.00E+00,0.00E+00
