37.4,1.9315e-07,37.4,1.9023e-07,37.4,1.8689e-07,37.4,1.8517e-07
37.5,1.9342e-07,37.5,1.9045e-07,37.5,1.8705e-07,37.5,1.8531e-07
37.6,1.9369e-07,37.6,1.9067e-07,37.6,1.8722e-07,37.6,1.8545e-07
37.7,1.9396e-07,37.7,1.9089e-07,37.7,1.8739e-07,37.7,1.8559e-07
37.8,1.9424e-07,37.8,1.9112e-07,37.8,1.8756e-07,37.8,1.8574e-07
37.9,1.9451e-07,37.9,1.9135e-07,37.9,1.8774e-07,37.9,1.8589e-07
38,1.948e-07,38,1.9158e-07,38,1.8791e-07,38,1.8604e-07
38.1,1.9508e-07,38.1,1.9182e-07,38.1,1.8809e-07,38.1,1.8619e-07
38.2,1.9538e-07,38.2,1.9205e-07,38.2,1.8827e-07,38.2,1.8634e-07
38.3,1.9567e-07,38.3,1.923e-07,38.3,1.8846e-07,38.3,1.8649e-07
38.4,1.9597e-07,38.4,1.9254e-07,38.4,1.8864e-07,38.4,1.8665e-07
38.5,1.9627e-07,38.5,1.9279e-07,38.5,1.8883e-07,38.5,1.8681e-07
38.6,1.9658e-07,38.6,1.9304e-07,38.6,1.8902e-07,38.6,1.8697e-07
38.7,1.9689e-07,38.7,1.933e-07,38.7,1.8921e-07,38.7,1.8713e-07
38.8,1.9721e-07,38.8,1.9355e-07,38.8,1.8941e-07,38.8,1.8729e-07
38.9,1.9753e-07,38.9,1.9382e-07,38.9,1.8961e-07,38.9,1.8746e-07
39,1.9785e-07,39,1.9408e-07,39,1.8981e-07,39,1.8763e-07
39.1,1.9818e-07,39.1,1.9435e-07,39.1,1.9001e-07,39.1,1.878e-07
39.2,1.9851e-07,39.2,1.9462e-07,39.2,1.9022e-07,39.2,1.8797e-07
39.3,1.9885e-07,39.3,1.949e-07,39.3,1.9042e-07,39.3,1.8814e-07
39.4,1.9919e-07,39.4,1.9517e-07,39.4,1.9063e-07,39.4,1.8832e-07
39.5,1.9954e-07,39.5,1.9546e-07,39.5,1.9085e-07,39.5,1.885e-07
39.6,1.9989e-07,39.6,1.9574e-07,39.6,1.9106e-07,39.6,1.8868e-07
39.7,2.0025e-07,39.7,1.9603e-07,39.7,1.9128e-07,39.7,1.8886e-07
39.8,2.0061e-07,39.8,1.9633e-07,39.8,1.915e-07,39.8,1.8905e-07
39.9,2.0098e-07,39.9,1.9663e-07,39.9,1.9172e-07,39.9,1.8924e-07
40,2.0135e-07,40,1.9693e-07,40,1.9195e-07,40,1.8942e-07
40.1,2.0173e-07,40.1,1.9723e-07,40.1,1.9218e-07,40.1,1.8962e-07
40.2,2.0211e-07,40.2,1.9754e-07,40.2,1.9241e-07,40.2,1.8981e-07
40.3,2.025e-07,40.3,1.9786e-07,40.3,1.9265e-07,40.3,1.9001e-07
